2125,02/10/2021,Tr,NO,SI,01,16,24,36,42,11
2125,02/10/2021,Re,NO,SI,19,30,38,39,41,01
2126,06/10/2021,Tr,NO,SI,05,20,22,32,35,16
2126,06/10/2021,Re,NO,SI,10,20,25,30,36,16
2127,09/10/2021,Tr,NO,SI,05,15,27,34,35,04
2127,09/10/2021,Re,NO,SI,04,08,12,27,41,06
2128,13/10/2021,Tr,NO,SI,01,02,11,15,33,12
2128,13/10/2021,Re,NO,SI,02,10,15,22,25,06
2129,16/10/2021,Tr,NO,SI,02,08,11,13,22,15
2129,16/10/2021,Re,NO,SI,06,10,25,26,27,06
2130,20/10/2021,Tr,NO,SI,11,14,15,22,25,16
2130,20/10/2021,Re,NO,SI,13,14,18,21,39,13
2131,23/10/2021,Tr,SI,SI,02,05,07,20,34,14
2131,23/10/2021,Re,NO,SI,01,02,18,19,23,07
2132,27/10/2021,Tr,NO,SI,12,14,18,28,40,08
2132,27/10/2021,Re,NO,SI,06,09,16,17,26,06
2133,30/10/2021,Tr,NO,SI,17,19,21,24,40,11
2133,30/10/2021,Re,NO,SI,12,19,31,42,43,02
2134,03/11/2021,Tr,NO,SI,07,13,17,21,36,01
2134,03/11/2021,Re,NO,SI,04,12,35,39,43,14
2135,06/11/2021,Tr,NO,SI,04,05,29,37,42,13
2135,06/11/2021,Re,NO,SI,03,19,26,32,43,11
2136,10/11/2021,Tr,NO,SI,18,35,37,39,42,13
2136,10/11/2021,Re,NO,SI,05,07,23,34,43,11
2137,13/11/2021,Tr,NO,SI,01,06,16,22,31,16
2137,13/11/2021,Re,NO,SI,11,12,28,29,32,13
2138,17/11/2021,Tr,NO,SI,06,07,09,18,35,06
2138,17/11/2021,Re,NO,SI,01,11,22,32,33,12
2139,20/11/2021,Tr,NO,SI,12,15,22,26,28,07
2139,20/11/2021,Re,NO,SI,01,04,12,13,33,13
2140,24/11/2021,Tr,NO,SI,17,25,29,34,36,12
2140,24/11/2021,Re,NO,SI,04,07,19,33,39,08
2141,27/11/2021,Tr,NO,SI,09,13,24,29,38,09
2141,27/11/2021,Re,NO,SI,06,20,24,30,40,16
2142,01/12/2021,Tr,NO,SI,13,15,16,24,43,13
2142,01/12/2021,Re,NO,SI,09,11,15,20,35,02
2143,04/12/2021,Tr,NO,SI,09,11,22,26,42,15
2143,04/12/2021,Re,NO,SI,25,27,31,42,43,14
2144,08/12/2021,Tr,NO,SI,01,04,06,12,22,10
2144,08/12/2021,Re,NO,SI,09,25,33,35,40,07
2145,11/12/2021,Tr,NO,SI,02,08,20,35,38,03
2145,11/12/2021,Re,NO,SI,09,16,19,29,39,01
2146,15/12/2021,Tr,NO,SI,01,15,20,31,35,15
2146,15/12/2021,Re,NO,SI,07,25,34,42,43,02
2147,18/12/2021,Tr,NO,SI,02,18,22,24,28,04
2147,18/12/2021,Re,NO,SI,03,16,22,26,40,12
2148,22/12/2021,Tr,NO,SI,05,11,29,30,43,14
2148,22/12/2021,Re,NO,SI,05,20,35,38,43,02
2149,25/12/2021,Tr,NO,SI,02,05,16,24,39,15
2149,25/12/2021,Re,NO,SI,14,15,26,28,40,14
2150,29/12/2021,Tr,NO,SI,08,24,34,38,42,11
2150,29/12/2021,Re,NO,SI,16,17,24,26,28,04
2151,01/01/2022,Tr,NO,SI,17,19,20,21,26,13
2151,01/01/2022,Re,NO,SI,02,08,21,38,43,07
2152,05/01/2022,Tr,NO,SI,10,33,36,40,43,16
2152,05/01/2022,Re,NO,SI,20,21,38,40,43,05
2153,08/01/2022,Tr,NO,SI,08,11,30,31,38,07
2153,08/01/2022,Re,SI,SI,09,16,18,21,27,05
2154,12/01/2022,Tr,NO,SI,01,02,11,34,41,10
2154,12/01/2022,Re,NO,SI,02,12,17,30,32,01
